Publication number,Title,Publication date,Inventors,country_name,Title_language,country_code,Applicants,Family number,ABSTRACT
KR101879936B1  KR20170142369A,H5N9 Novel H5N9 recombinant influenza virus and vaccine composition comprising the same,2017-12-28  2018-07-19,SONG CHANG SEON [KR]  YUK SUNG SU [KR],South Korea,en,KR,UNIV KONKUK IND COOP CORP [KR],60939697,hn novel hn recombinant influenza virus vaccine composition comprising
CN104031146A  CN104031146B,Humanized avian influenza virus H7N9 resisting neutralizing antibody M5 as well as preparation method and application thereof,2014-09-10  2016-08-17,CHEN ZHE  JIN QI,China,en,CN,INST PATHOGEN BIOLOGY CAMS,51462161,humanized avian influenza virus hn resisting neutralizing antibody well preparation method application thereof
JP2015200971A,CONTROL SYSTEM EQUIPPED WITH FALSIFICATION DETECTION FUNCTION,12/11/2015,IIJIMA JUNICHI,Japan,de,JP,FUJI ELECTRIC CO LTD,54552198,control system equipped falsification detection function
EP1625852A1  EP1625852B1,Chimeric flavivirus vaccines,2006-02-15  2010-05-26,CHAMBERS THOMAS J [US]  MONATH THOMAS P [US]  GUIRAKHOO FARSHAD [US],European Patent Office (EPO),ca,EP,ACAMBIS INC [US]  UNIV SAINT LOUIS [US],26677253,chimeric flavivirus vaccines
JPH104956A,IMPROVEMENT IN MAINTAINABLE CELL STRAIN IN ORDER TO PRODUCE VACCINE FOR MAREK'S DISEASE,13/01/1998,COUSSENS PAUL M  REILLY JOHN DAVID  ABUJOUB AMIN,Japan,en,JP,UNIV MICHIGAN,24689728,improvement maintainable cell strain order produce vaccine mareks disease
WO2022218340A1,"RECOMBINANT NEWCASTLE DISEASE VIRUS RNDV-VEGF-TRAP, GENOME THEREOF, PREPARATION METHOD THEREFOR, AND USE THEREOF",20/10/2022,XIAO WEI [CN]  LI DESHAN [CN]  LIU TIANYAN [CN]  WANG ZHENZHONG [CN]  CAO YUKAI [CN]  LIU ZHIHANG [CN],World Intellectual Property Organization (WIPO),en,WO,JIANGSU KANIONREAL BIOMEDICAL TECH CO LTD [CN],83571455,recombinant newcastle disease virus rndvvegftrap genome thereof preparation method therefor use thereof
EP0614486A1  EP0614486B1,TARGETED DELIVERY OF VIRUS VECTOR TO MAMMALIAN CELLS.,1994-09-14  2002-09-18,LINDHOLM LEIF [SE]  ENERBAECK SVEN [SE]  STRANNEGARD OERJAN [SE],European Patent Office (EPO),de,EP,GOT A GENE AB [SE],20384166,targeted delivery virus vector mammalian cells
CN1224700C  CN1384194A,Post-treatment process of silkworm gene engineering phytase prepn,2002-12-11  2005-10-26,CHEN YING [CN]  SHI YU [CN]  QIN JIAN [CN],China,en,CN,HUASHEN GROUP CO LTD SICHUAN [CN],4656325,posttreatment process silkworm gene engineering phytase prepn
CN100577806C  CN1974775A,Recombinant plasmid and engineering bacterium containing grass carp interferon gene and their application,2007-06-06  2010-01-06,SHAO JIANZHONG HU [CN]  JIANZHONG SHAO  XIANGDONG HU  LIXIN XIANG  BO PENG  HUIFANG LIN,China,en,CN,UNIV ZHEJIANG [CN]  UNIV ZHEJIANG  ZHEJIANG HUANGGUAN TECHNOLOGY CO LTD,38125122,recombinant plasmid engineering bacterium containing grass carp interferon gene application
CN107158371A,Genetic engineering subunit oral bicombined inactivated vaccine,15/09/2017,SHAN HU  SHANG JIJUAN  GE CHUNYUN  ZHANG HONGLIANG  QIN ZHIHUA  LIU XIAODONG,China,en,CN,UNIV QINGDAO AGRICULTURAL,59816013,genetic engineering subunit oral bicombined inactivated vaccine
WO2022182704A1,ENGINEERING HEMAGGLUTININ AND FUSION POLYPEPTIDES OF CANINE DISTEMPER VIRUS,01/09/2022,RUSSELL STEPHEN JAMES [US]  MUNOZ ALIA MIGUEL A [US],World Intellectual Property Organization (WIPO),de,WO,MAYO FOUND MEDICAL EDUCATION & RES [US],83049650,engineering hemagglutinin fusion polypeptides canine distemper virus
CN109402117A  CN109402117B,Adeno-associated virus for silencing expression of Ras guanyl nucleotide releasing protein 1 (RASGRP1) in intestinal tract of mice as well as preparation method and application of adeno-associated virus,2019-03-01  2022-03-01,LI JUNYAN  LU HAO  TAO FENG  CHEN QINGGUANG  XU JUNFEI  HOU RUIFANG  HAN XU  GU YIMENG  YANG XUERONG  JIN XIN  ZHANG LIQIONG  TAO LEWEI,China,en,CN,SHUGUANG HOSPITAL AFFILIATED WITH SHANGHAI UNIV TCM,65472319,adenoassociated virus silencing expression ras guanyl nucleotide releasing protein rasgrp intestinal tract mice well preparation method application adenoassociated virus
CN114456240A  CN114456240B,Genetic engineering subunit oral vaccine for African swine fever virus,2022-05-10  2023-08-15,CAI XIULEI  ZHAO SAISAI  ZHANG HONGLIANG  SHAN HU  QIN ZHIHUA  ZHANG HAOJIE,China,en,CN,UNIV QINGDAO AGRICULTURAL,81415598,genetic engineering subunit oral vaccine african swine fever virus
WO2022120103A1,ENGINEERING IMMUNE ORTHOGANOL AAV AND IMMUNE STEALTH CRISPR-CAS,09/06/2022,MALI PRASHANT [US]  PALMER NATHAN [US]  KUMAR ADITYA [US]  SUHARDJO AMANDA [US],World Intellectual Property Organization (WIPO),en,WO,UNIV CALIFORNIA [US],81852800,engineering immune orthoganol aav immune stealth crisprcas
US2024052372A1,ALLELE-SPECIFIC GENOME EDITING OF THE NR2E3 MUTATION G56R,15/02/2024,KALATZIS VASILIKI [FR]  DIAKATOU MICHALISTA [FR],United States of America,de,US,INST NAT SANTE RECH MED [FR]  UNIV MONTPELLIER [FR],74884908,allelespecific genome editing nre mutation gr
CN101070541A,Gene engineering antibody of resisting chicken newcastle disease virus,14/11/2007,CHEN HONGBING LI [CN],China,en,CN,NACHANG UNIV [CN],38897958,gene engineering antibody resisting chicken newcastle disease virus
CN108484737A  CN108484737B,Method for expressing truncated non-structural protein NS4B of Tembusu virus and product and application thereof,2018-09-04  2021-04-23,CHEN SHUN  JIANG BOWEN  ZHANG WEI  CHENG ANCHUN  WANG MINGSHU,China,en,CN,UNIV SICHUAN AGRICULTURAL,63340050,method expressing truncated nonstructural protein nsb tembusu virus product application thereof
CN102406929A  CN102406929B,Co-expressed molecular adjuvant enhanced divalent foot and mouth disease protein engineering vaccine,2012-04-11  2013-09-04,DIANMING LI  QIN PU  YI LI  CHUNMEI QI  CHUNHUI TIAN  MING ZHAO  FUXIANG GU  BAILIANG REN  DAOCHUN ZHANG  JITAO NIU  TIANTIAN LIU  ZHEN LIU  LI DIANMING  PU QIN  LI YI  QI CHUNMEI  TIAN CHUNHUI  ZHAO MING  GU FUXIANG  REN BAILIANG  ZHANG DAOCHUN  NIU JITAO  LIU TIANTIAN  LIU ZHEN,China,en,CN,QINGDAO BAOMAIDE BIOLOG MEDICAL TECHNOLOGY CO LTD  QINGDAO HONGQIAO MINGQIN BIOLOG TECHNOLOGY CO LTD,45909464,coexpressed molecular adjuvant enhanced divalent foot mouth disease protein engineering vaccine
CN107759673A  CN107759673B,Protein molecule for appearance methylated modification on DNA of HBV and application of protein molecule,2018-03-06  2021-06-04,ZHU NAISHUO  WANG GUILIANG,China,en,CN,UNIV FUDAN,61267697,protein molecule appearance methylated modification dna hbv application protein molecule
CN1410534A,"Lefteye flounder lymph tumour virus toxic strain, its preparation method and application",16/04/2003,ZHANG QIYA [CN]  LI ZHENGQIU [CN]  YUAN XIUPING [CN],China,en,CN,INST OF HYDROBIOLOGY CAS [CN],4750002,lefteye flounder lymph tumour virus toxic strain preparation method application
US2019169636A1,Directing Cancer Cells to Self-Destruct Through Vectoring Engineered Viruses,06/06/2019,POSTREL RICHARD [US],United States of America,en,US,POSTREL RICHARD [US],66658897,directing cancer cells selfdestruct vectoring engineered viruses
CN104031147A  CN104031147B,Humanized avian influenza virus H7N9 resisting neutralizing antibody H8 as well as preparation method and application thereof,2014-09-10  2016-08-17,CHEN ZHE  JIN QI,China,en,CN,INST PATHOGEN BIOLOGY CAMS,51462162,humanized avian influenza virus hn resisting neutralizing antibody h well preparation method application thereof
CA2130832A1  CA2130832C,VIRUS-TARGETED BIOCATALYSTS,1993-09-16  2002-08-06,CREA ROBERTO [US],Canada,de,CA,CREAGEN INC [US],25301545,virustargeted biocatalysts
CN101244269A,Recombined foot and mouth disease virus amalgamation protein vaccine,20/08/2008,LIYING WANG [CN]  JILING REN [CN]  HAIFEI XU [CN]  YONGSHENG ZHANG [CN]  HUA WANG [CN]  YONGLI YU [CN],China,en,CN,BEIJING DIWEI HUAYU BIOTECHNOL [CN],39945091,recombined foot mouth disease virus amalgamation protein vaccine
CN106771187A  CN106771187B,Method for testing potency of CFS (classical swine fever) genetic engineering subunit vaccine,2017-05-31  2018-11-20,LIU LEI  SHEN HONGYIN  GUO YUGUANG  ZOU GUIRONG  LI JINJI  HU XIAO  CAO ZHI,China,en,CN,YEBIO BIOENG CO LTD QINGDAO,58878728,method testing potency cfs classical swine fever genetic engineering subunit vaccine
EP0727226A2  EP0727226A3  EP0727226B1,Process for removing viruses from protein solutions by ultrafiltration,1996-08-21  1999-07-21  2003-04-09,BERNHARDT DIETER DR [DE]  GROENER ALBRECHT DR [DE]  NOWAK THOMAS DR [DE],European Patent Office (EPO),en,EP,BEHRINGWERKE AG [DE]  AVENTIS BEHRING GMBH [DE],7753509,process removing viruses protein solutions ultrafiltration
EP1098961A1  EP1098961A4  EP1098961B1,INTERFERON INDUCING GENETICALLY ENGINEERED ATTENUATED VIRUSES,2001-05-16  2001-09-12  2008-01-16,EGOROV ANDREJ Y DR [RU]  MUSTER THOMAS [AT]  GARCIA-SASTRE ADOLFO [US]  PALESE PETER [US]  BRANDT SABINE [AT]  EGOROV ANDREJ [US],European Patent Office (EPO),de,EP,SINAI SCHOOL MEDICINE [US]  EGOROV ANDREJ [US]  MUSTER THOMAS [US]  EGOROV ANDREJ Y DR [RU]  MUSTER THOMAS [AT],22215706,interferon inducing genetically engineered attenuated viruses
CN109517044A  CN109517044B,Porcine epizootic diarrhea virus gene engineering antigen and antibody,2019-03-26  2020-03-27,TANG QINGHAI  SUN GUOYIN  WEI PINGHUA  YANG HAI  LI XIAONAN  ZHANG SHU  WANG RUIFENG  CAO SHUXIAN  TANG SIPING  YANG CAN  WANG FANGYU,China,en,CN,UNIV HENGYANG NORMAL  NANYANG TIANHUA PHARMACEUTICAL CO LTD  GUANGZHOU GREAT BIOLOGICAL TECH CO LTD,65797936,porcine epizootic diarrhea virus gene engineering antigen antibody
CA1302248C,DETECTION OF ANTIBODIES TO HUMAN IMMUNODEFICIENCY VIRUS BY AGGLUTINATION OF ANTIGEN COATED LATEX,02/06/1992,RIGGIN CHARLES H [US]  MARCIANI DANTE J [US],Canada,de,CA,CAMBRIDGE BIOSCIENCE CORP [US],21933629,detection antibodies human immunodeficiency virus agglutination antigen coated latex
CN1128953A,Hydrogel microencapsulated vaccines,14/08/1996,ANDRIANOV A K [US]  JENKINS S A [US]  L G PAYEN [US],China,ca,CN,VIRUS RES INST [US],26782696,hydrogel microencapsulated vaccines
CN110128543A,Virus-like vesicle and preparation method thereof and use thereof,16/08/2019,ZHANG CHUAN  FENG JING  ZHU XINYUAN  GAO XIHUI  LI SHA  LI JING,China,en,CN,UNIV SHANGHAI JIAOTONG,67569153,viruslike vesicle preparation method thereof use thereof
CN117106814A,Soluble recombinant dengue type 2 virus EDIII protein as well as preparation method and application thereof,24/11/2023,ZHAO SUQING  MA ZITING  GUO JINNIAN  JIANG LU  SU JINGYI  HAN ZELIN,China,en,CN,UNIV GUANGDONG TECHNOLOGY,88810689,soluble recombinant dengue type virus ediii protein well preparation method application thereof
CN1847392A,Process of producing gene engineering subunit vaccine of chicken's infectious bursal disease with colibacillus,18/10/2006,RONG JUN CHENG [CN],China,en,CN,CHANGJIANG UNIV [CN],37077132,process producing gene engineering subunit vaccine chickens infectious bursal disease colibacillus
CN113005122A  CN113005122B,Corn virus resistant small RNA,2021-06-22  2022-12-02,ZHOU TAO  LIU XUEDONG  LIU SIJIA  CHEN XI  FAN ZAIFENG,China,en,CN,UNIV CHINA AGRICULTURAL,76382757,corn virus resistant small rna
CN113943376A  CN113943376B,"Fusion gene, encoding protein thereof and application of fusion gene in resisting African swine fever",2022-01-18  2022-08-09,WANG CHUNFENG  YANG GUILIAN  NIU TIANMING  YANG WENTAO  SHI CHUNWEI  BAO JUNFU  LI NAN  WANG DAN  CHEN XIAOLEI  JIANG YUXIN  WANG HONG  GU WEI  SHAN BAOLONG,China,en,CN,UNIV JILIN AGRICULTURAL,79337238,fusion gene encoding protein thereof application fusion gene resisting african swine fever
JP2023041876A,"AUTOPHAGY, SIRTUIN, IPS VIRUS CARRIER OPDIVO REJUVENATION IMMORTALITY AGENT 11",24/03/2023,KAJISA ISAO,Japan,de,JP,KAJISA ISAO,85641611,autophagy sirtuin ips virus carrier opdivo rejuvenation immortality agent
CN106729689A,Chicken newcastle disease virus inactivated vaccine preparation method,31/05/2017,LIU DINGKUO  WANG LIHONG  ZHANG FENGHONG  ZHANG JUNXIA,China,en,CN,DINGZHENG BIOLOGICAL PHARMACEUTICAL (TIANJIN) CO LTD,58886118,chicken newcastle disease virus inactivated vaccine preparation method
WO2020177179A1,MODIFIED METASTABLE BOVINE RESPIRATORY SYNCYTIAL VIRUS FUSION PRECURSOR F PROTEIN AND CODING DNA MOLECULE AND APPLICATION THEREOF,10/09/2020,ZHOU JIANGUO [CN]  DAI MIN [CN],World Intellectual Property Organization (WIPO),de,WO,SUZHOU YUZHIBO BIOLOGICAL TECH CO LTD [CN],66900241,modified metastable bovine respiratory syncytial virus fusion precursor f protein coding dna molecule application thereof
US2008031868A1,"HUMAN LYSOZYME MEDICINE, ITS MANUFACTURING METHOD AND APPLICATION THEREOF",07/02/2008,AN MI [CN],United States of America,en,US,,39029410,human lysozyme medicine manufacturing method application thereof
CN114085842A,Seneca virus swine monoclonal gene engineering antibody and preparation method and application thereof,25/02/2022,MA XUEQING  SUN PU  LI KUN  LI PINGHUA  LU ZENGJUN  LIU ZAIXIN  FU YUANFANG  BAI XINGWEN  CAO YIMEI  ZHANG JING  QI GUANGYU  LI DONG  BAO HUIFANG,China,en,CN,LANZHOU VETERINARY RES INST CAAS,80295666,seneca virus swine monoclonal gene engineering antibody preparation method application thereof
CN102863527A  CN102863527B,Humanized hepatitis b virus resistance surface antigen gene engineering antibodies and preparation method and application thereof,2013-01-09  2014-03-19,LIANG MIFANG  BI SHENGLI  SUN LINA  GUO YU  LIU YANG  ZHANG FUSHUN  LI CHUAN  LI DEXIN,China,en,CN,INST VIRAL DISEASE CONTROL & PREVENTION CHINESE CT DISEASE CONTROL & PREVENTION,47442680,humanized hepatitis b virus resistance surface antigen gene engineering antibodies preparation method application thereof
CN103642807A  CN103642807B,Enhanced bombyx mori nuclear polyhedrosis virus inducible promoter En39k and application thereof,2014-03-19  2015-06-17,PAN MINHUI  LU CHENG  KUANG XIUXIU  CAO MINGYA  ZHANG JUN  HE QIAN,China,en,CN,UNIV SOUTHWEST,50248093,enhanced bombyx mori nuclear polyhedrosis virus inducible promoter enk application thereof
EP1239047A2  EP1239047A3  EP1239047B1,Method for producing proteins,2002-09-11  2004-03-24  2006-05-31,INABA NIRO [JP]  HORI TAKEYA [JP]  ITO SATORU [JP],European Patent Office (EPO),en,EP,FUJIREBIO KK [JP],18920336,method producing proteins
KR101857863B1  KR20170142366A,H5N9 Novel H5N9 recombinant influenza virus and vaccine composition comprising the same,2017-12-28  2018-05-14,SONG CHANG SEON [KR]  YUK SUNG SU [KR],South Korea,en,KR,UNIV KONKUK IND COOP CORP [KR],60939683,hn novel hn recombinant influenza virus vaccine composition comprising
CN109456412A  CN109456412B,Porcine epidemic diarrhea virus genetic engineering vaccine and preparation method thereof,2019-03-12  2019-09-03,DING GUOWEI  FAN JUAN  QIAN ZHONG  YE ZHENGQIN  PAN JIE  LI YUHE  SONG QINGQING,China,en,CN,YANGZHOU UNI BIO PHARMACEUTICAL CO LTD,65606255,porcine epidemic diarrhea virus genetic engineering vaccine preparation method thereof
EP0240332A2  EP0240332A3  EP0240332B1,Virus resistant plants having antisense RNA.,1987-10-07  1989-04-26  1995-07-12,LOESCH-FRIES SUE L [US]  MERLO DONALD J [US]  JARVIS NANCY P [US]  LOESCH-FRIES SUE L  MERLO DONALD J  JARVIS NANCY P,European Patent Office (EPO),en,EP,LUBRIZOL GENETICS INC [US]  PIONEER HI BRED INT [US],25300602,virus resistant plants antisense rna
EP3995573A1  EP3995573A4,"PROTEOLYTIC TARGETED VIRUS, LIVE VACCINE THEREOF, PREPARATION METHOD THEREFOR AND USE THEREOF",2022-05-11  2023-08-16,SI LONGLONG [CN]  ZHEN ZHAOYU [CN]  NIU SIWEN [CN],European Patent Office (EPO),vi,EP,SI LONGLONG [CN]  ZHEN ZHAOYU [CN]  NIU SIWEN [CN],73919037,proteolytic targeted virus live vaccine thereof preparation method therefor use thereof
CN105177025A  CN105177025B,Type 18 recombinant human papilloma virus virus-like particle and preparation method thereof,2015-12-23  2022-11-01,XU ZHENG  LIU YONGJIANG  WU SHUMING  PAN YONGZHAO  CHEN JIANPING  GAO WENSHUANG  YIN FEI  CHEN DAN  SHEN ERCUI  WANG YAJUN  XIA LI  REN YONGFENG  CHEN XIAOJIANG,China,en,CN,BEIJING KANGLEWEISHI BIOLOG TECHNOLOGY CO LTD,54216657,type recombinant human papilloma virus viruslike particle preparation method thereof
WO2012099566A1,INFLUENZA VIRUS NEUTRALIZING AGENTS THAT MIMIC THE BINDING SITE OF AN INFLUENZA NEUTRALIZING ANTIBODY,26/07/2012,HOROWITZ LAWRENCE [US]  BHATT RAMESH [US]  KASHYAP ARUN K [US],World Intellectual Property Organization (WIPO),de,WO,SEA LANE BIOTECHNOLOGIES LLC [US]  HOROWITZ LAWRENCE [US]  BHATT RAMESH [US]  KASHYAP ARUN K [US],45582006,influenza virus neutralizing agents mimic binding site influenza neutralizing antibody
CN1061093C  CN1177006A,"Incasing cell series for prodn. of recombined adenovirus accompanying virus, and the application thereof",1998-03-25  2001-01-24,YAO ERMEI [CN]  YAN ZIYING [CN]  HOU YUNDE [CN],China,en,CN,VIROGENE ENGINEERING STATE KEY [CN],5173113,incasing cell series prodn recombined adenovirus accompanying virus application thereof
WO2022218339A1,"RECOMBINANT NEWCASTLE DISEASE VIRUS RNDV-OX40L, GENOME THEREOF, PREPARATION METHOD THEREFOR AND USE THEREOF",20/10/2022,XIAO WEI [CN]  LI DESHAN [CN]  LIU TIANYAN [CN]  WANG ZHENZHONG [CN]  TIAN LIMIN [CN]  LIU ZHIHANG [CN],World Intellectual Property Organization (WIPO),de,WO,JIANGSU KANIONREAL BIOMEDICAL TECH CO LTD [CN],83571082,recombinant newcastle disease virus rndvoxl genome thereof preparation method therefor use thereof
CN103530561A,Method and device for preventing attacks of Trojan horse programs based on social engineering,22/01/2014,ZHANG HAOQIU  LIU YIPING  PU XIN  DENG PENG,China,en,CN,BEIJING QIHOO TECHNOLOGY CO  QIZHI SOFTWARE BEIJING CO LTD,49932564,method device preventing attacks trojan horse programs based social engineering
EP1757303A1  EP1757303A4,"HUMAN LYSOZYME MEDICINE, ITS MANUFACTURING METHOD AND APPLICATION THEREOF",2007-02-28  2009-06-17,AN MI [CN],European Patent Office (EPO),en,EP,AN MI [CN],34600602,human lysozyme medicine manufacturing method application thereof
CN100579989C  CN101050239A,"Interfusion protein between diphtheria toxin and GM CSF mutant, coded gene and application",2007-10-10  2010-01-13,OUYANG JING WANG [CN]  JING OUYANG  JIANWEI WANG  TAO HONG,China,en,CN,INST OF VIRUS DISEASES PREVENT [CN]  INST OF VIRUS PREVENTION AND CONTROL CHINESE CT FOR DISEASE CONTROL AND PREVENTION,38781862,interfusion protein diphtheria toxin gm csf mutant coded gene application
CN106831963A  CN106831963B,"Coat gene of nervous necrosis virus of grouper, expression method in colibacillus and application",2017-06-13  2019-10-11,LIN KEBING  GE HUI  HUANG ZHONGCHI  ZHU ZHIHUANG,China,en,CN,FISHERIES RESEARCH INST FUJIAN,59145592,coat gene nervous necrosis virus grouper expression method colibacillus application
